ID czaswypelnienia czasnauka procentzajec czasaktywnosci srednia motywacja zaangazowanie FTP IQ ekstrawersja ugodowosc sumiennosc neurotyzm otwartoscnadoswiadczenia plec0 plec studia wiek edukacjarodzicow0 edukacjarodzicow wsparciefinansowe0 wsparciefinansowe dochodrozporzadzalny0 dochodrozporzadzalny trybstudiaw0 trybstudiaw kierunek humanistyczne inzynieryjnotechniczne medyczneinaukiozdrowiu unknown scisleiprzyrodnicze miejscowosc zamieszkanie0 zamieszkanie czasnauka0 czasaktywnosci0 biblio0 biblio l_zaangazowanie sq_zaangazowanie sq_FTP sq_IQ sq_sumiennosc l_neurotyzm l_zaangazowanie_boxcox l_l_zaangazowanie_boxcox FTP_trybstudiaw IQ_trybstudiaw ekstrawersja_trybstudiaw sumiennosc_trybstudiaw edukacjarodzicow_trybstudiaw wsparciefinansowe_trybstudiaw FTP_edukacjarodzicow IQ_edukacjarodzicow ekstrawersja_edukacjarodzicow sumiennosc_edukacjarodzicow wsparcie_edukacjarodzicow trybstudiaw_edukacjarodzicow mask sq_sq_sumiennosc sq_wsparciefinansowe czydochod czydochod2 uhat1
38 620.999999949708 0.5 85 1 4 27 46.6666666666667 12 3 4 4 4 9 7 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie średnie" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "3000-4999" 4000 "Studia zaoczne / niestacjonarne lub inne;" 0 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 3.84303013394119 2177.77777777778 144 9 16 2.19722457733622 11.6626010212795 2.45638722819635 0 0 0 0 0 0 0 0 0 0 0 0 1 256 9 4000 0 0.577465540670696
39 426.999997347593 0 100 6 4.47 32 50 17 4 2 8 5 7 7 "Mężczyzna" 1 "3 lata" 22 "Wykształcenie średnie" 0 "W 100% utrzymuję się sam" 1 "5000-7999" 6500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 50 tys. do 150 tys." "Mieszkam w akademiku;" 0 "w ogóle nie przygotowuję się do zajęć" "4 godziny dziennie lub więcej" "Tylko podczas sesji" 1 3.91202300542815 2500 289 16 25 1.94591014905531 12.142135623731 2.49668168644745 0 0 0 0 0 0 0 0 0 0 0 0 1 625 1 0 6500 -0.677408076181017
40 626.000002375804 1 70 1 3.15 29 43.3333333333333 15 2 4 6 4 5 8 "Mężczyzna" 1 "5 lat" 24 "Wykształcenie średnie" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto do 50 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 3.76892216178747 1877.77777777778 225 4 16 1.6094379124341 11.1656117720877 2.41283867752926 15 2 4 4 0 4 0 0 0 0 0 0 1 256 16 0 2500 -1.26045164743599
41 847.000005003065 1 95 3 4.3 23 55.8333333333333 14 1 5 6 8 7 5 "Kobieta" 0 "4 lata" 23 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;" 1 "Humanistyczne;Inżynieryjno-techniczne;" 1 1 0 0 0 "Miasto do 50 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "4-7 godzin tygodniowo" "2-3 godziny dziennie" "Rzadziej lub wcale" 0 4.02237106259701 3117.36111111111 196 1 64 1.94591014905531 12.9443411809733 2.56065871820217 14 1 5 8 0 4 0 0 0 0 0 0 1 4096 16 0 1500 -1.18559015382987
42 525.000000768342 0 40 1 4 33 20 12 3 6 5 8 3 5 "Osoba niebinarna" NA "2 lata" 21 "Wykształcenie średnie" 0 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "3000-4999" 4000 "Studia zaoczne / niestacjonarne lub inne;" 0 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "mniej niż 1 godzinę tygodniowo" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 2.99573227355399 400 144 9 64 1.09861228866811 6.94427190999916 1.93791713413737 0 0 0 0 0 0 0 0 0 0 0 0 1 4096 4 4000 0 NA
43 877.999997162261 0.5 50 6 4 27 29.1666666666667 11 4 4 7 5 2 6 "Kobieta" 0 "3 lata" 22 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "5000-7999" 6500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.37302650469546 850.694444444444 121 16 25 0.693147180559945 8.80123449734643 2.17489199543468 0 0 0 0 0 0 11 4 4 5 3 0 1 625 9 6500 0 -0.554564164087356
44 652.999993599951 3 85 1 4.375 33 67.5 16 6 6 8 5 5 8 "Mężczyzna" 1 "1 rok" 20 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Wieś" "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Kilka razy w miesiącu" 3 4.21212759787848 4556.25 256 36 25 1.6094379124341 14.431676725155 2.66942556320485 16 6 6 5 0 4 0 0 0 0 0 0 1 625 16 0 2500 -0.543852472888481
45 457.999997679144 0 80 6 4.1 28 40 16 2 4 5 8 2 6 "Mężczyzna" 1 "4 lata" 23 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "w ogóle nie przygotowuję się do zajęć" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.68887945411394 1600 256 4 64 0.693147180559945 10.6491106406735 2.36547638075047 16 2 4 8 1 3 16 2 4 8 3 1 1 4096 9 0 4000 -1.14093346896824
46 947.999998438172 3 95 6 3.8 35 72.5 13 5 3 4 5 2 5 "Mężczyzna" 1 "2 lata" 21 "Jeden z rodziców/opiekunów prawnych ma wykształcenie średnie a drugi podstawowe" 0 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "3000-4999" 4000 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "4 godziny dziennie lub więcej" "Raz w miesiącu" 2 4.28358656186063 5256.25 169 25 25 0.693147180559945 15.0293863659264 2.71000737564775 13 5 3 5 0 2 0 0 0 0 0 0 1 625 4 4000 0 2.16357807085809
48 360.999996378087 1 90 0.5 3.5 33 53.3333333333333 15 1 5 2 2 1 5 "Mężczyzna" 1 "3 lata" 22 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "1-3 godziny tygodniowo" "Raz w miesiącu" 2 3.97656152656572 2844.44444444444 225 1 4 0 12.6059348668044 2.53416772423673 15 1 5 2 0 4 0 0 0 0 0 0 1 16 16 500 0 1.67501223824184
49 237.999997800216 1 50 1 4.34 20 33.3333333333333 7 1 7 4 2 7 4 "Mężczyzna" 1 "4 lata" 23 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam sam;" 0 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Raz w miesiącu" 2 3.50655789731998 1111.11111111111 49 1 4 1.94591014905531 9.54700538379251 2.25622753294079 7 1 7 2 1 5 7 1 7 2 5 1 1 16 25 0 6500 1.02991104773131
50 415.000005229376 0.5 90 0 4.4 35 49.1666666666667 19 1 9 1 4 1 2 "Kobieta" 0 "1 rok" 20 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "1000-1999" 1500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam sam;" 0 "1-3 godziny tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.89521588711176 2417.36111111111 361 1 16 0 12.0237893119751 2.48688713000633 19 1 9 4 1 5 19 1 9 4 5 1 1 256 25 0 1500 1.23497495601492
51 1486.00000224542 0 80 6 3.75 31 40 13 3 7 5 4 3 5 "Mężczyzna" 1 "3 lata" 22 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "mniej niż 1 godzinę tygodniowo" "4 godziny dziennie lub więcej" "Kilka razy w tygodniu" 4 3.68887945411394 1600 169 9 16 1.09861228866811 10.6491106406735 2.36547638075047 13 3 7 4 1 4 13 3 7 4 4 1 1 256 16 2500 0 1.04225947462137
52 418.000003416092 0 50 0 3.66 25 25 9 2 2 8 1 9 6 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "3000-4999" 4000 "Studia zaoczne / niestacjonarne lub inne;" 0 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "mniej niż 1 godzinę tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.2188758248682 625 81 4 1 2.19722457733622 8 2.07944154167984 0 0 0 0 0 0 9 2 2 1 4 0 1 1 16 4000 0 -1.0860141985905
53 895.000000507571 0.5 50 0 3.5 26 29.1666666666667 11 4 5 5 8 6 7 "Mężczyzna" 1 "1 rok" 20 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "3000-4999" 4000 "Studia zaoczne / niestacjonarne lub inne;" 0 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto od 50 tys. do 150 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.37302650469546 850.694444444444 121 16 64 1.79175946922806 8.80123449734643 2.17489199543468 0 0 0 0 0 0 0 0 0 0 0 0 1 4096 9 4000 0 -3.00740839916493
54 1659.00000119582 3 65 1 4.5 35 57.5 19 6 8 6 8 1 6 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "2000-2999" 2500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;Społeczne i ekonomiczne;" 0 0 0 1 1 "Wieś" "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Kilka razy w miesiącu" 3 4.0517849478033 3306.25 361 36 64 0 13.1657508881031 2.57761882801776 19 6 8 8 1 5 19 6 8 8 5 1 1 4096 25 0 2500 -3.08224815106392
55 910.999992932193 1 98 0.5 3.66 29 57.3333333333333 16 5 7 6 3 5 8 "Mężczyzna" 1 "1 rok" 20 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "<1000" 500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "1-3 godziny tygodniowo" "Rzadziej lub wcale" 0 4.04888218814534 3287.11111111111 256 25 9 1.6094379124341 13.1437555888007 2.57594678567473 16 5 7 3 0 4 0 0 0 0 0 0 1 81 16 500 0 0.049201826789103
56 472.999996785074 0.5 95 6 4 29 51.6666666666667 15 1 6 5 5 7 7 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;" 1 "Inżynieryjno-techniczne;" 0 1 0 0 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.94481282825114 2669.44444444444 225 1 25 1.94591014905531 12.3759057685652 2.51575149919566 15 1 6 5 1 4 15 1 6 5 4 1 1 625 16 1500 0 1.73317612654011
57 409.999994002283 0 25 6 3.6 23 12.5 12 1 6 1 4 9 5 "Kobieta" 0 "5 lat" 24 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W 100% utrzymuję się sam" 1 "5000-7999" 6500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam sam;" 0 "w ogóle nie przygotowuję się do zajęć" "4 godziny dziennie lub więcej" "Kilka razy w miesiącu" 3 2.52572864430826 156.25 144 1 16 2.19722457733622 5.07106781186548 1.6235514092073 0 0 0 0 0 0 0 0 0 0 0 0 1 256 1 0 6500 -3.54837125698224
58 1300.99999420345 6 90 3 4.7 27 95 16 3 3 4 7 6 6 "Kobieta" 0 "1 rok" 20 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "3000-4999" 4000 "Studia stacjonarne;" 1 "Humanistyczne;" 1 0 0 0 0 "Wieś" "Mieszkam w mieszkaniu studenckim (wynajmuję ze znajomymi);" 0 "4 godziny dziennie lub więcej" "2-3 godziny dziennie" "Kilka razy w miesiącu" 3 4.55387689160054 9025 256 9 49 1.79175946922806 17.4935886896179 2.86183445320977 16 3 3 7 0 2 0 0 0 0 0 0 1 2401 4 0 4000 2.64255532787956
60 524.00000744965 6 90 1 4.67 30 95 19 2 5 5 9 8 5 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "3000-4999" 4000 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam sam;" 0 "4 godziny dziennie lub więcej" "4-7 godzin tygodniowo" "Rzadziej lub wcale" 0 4.55387689160054 9025 361 4 81 2.07944154167984 17.4935886896179 2.86183445320977 19 2 5 9 1 4 19 2 5 9 4 1 1 6561 16 0 4000 3.6023725943893
61 588.999997498468 3 60 1 3.5 33 55 14 2 5 8 3 3 8 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "1000-1999" 1500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Tylko podczas sesji" 1 4.00733318523247 3025 196 4 9 1.09861228866811 12.8323969741913 2.55197298691367 0 0 0 0 0 0 0 0 0 0 0 0 1 81 25 1500 0 1.71909126607323
62 855.999999563209 1 90 1 4.05 30 53.3333333333333 18 5 4 3 3 7 3 "Mężczyzna" 1 "4 lata" 23 "Wykształcenie wyższe" 1 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "4-7 godzin tygodniowo" "Kilka razy w miesiącu" 3 3.97656152656572 2844.44444444444 324 25 9 1.94591014905531 12.6059348668044 2.53416772423673 18 5 4 3 1 4 18 5 4 3 4 1 1 81 16 1500 0 -0.275712494361654
63 649.999996041879 6 70 0 4.08 38 85 16 6 2 3 5 5 4 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "W większości utrzymuję się sam, moi rodzice (lub dalsza rodzina) wspierają mnie w niewielkim stopniu" 2 "2000-2999" 2500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam sam;" 0 "4 godziny dziennie lub więcej" "mniej niż 1 godzinę tygodniowo" "Kilka razy w miesiącu" 3 4.44265125649032 7225 256 36 25 1.6094379124341 16.4390889145858 2.79966196927154 16 6 2 5 1 2 16 6 2 5 2 1 1 625 4 0 2500 1.68236877328374
64 1214.99999987427 3 65 1 3.5 23 57.5 15 4 4 4 4 5 7 "Kobieta" 0 "2 lata" 21 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "3000-4999" 4000 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto do 50 tys." "Mieszkam sam;" 0 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Kilka razy w miesiącu" 3 4.0517849478033 3306.25 225 16 16 1.6094379124341 13.1657508881031 2.57761882801776 15 4 4 4 0 5 0 0 0 0 0 0 1 256 25 0 4000 -1.79891835857844
65 536.999992886559 0.5 70 6 4 32 39.1666666666667 18 2 6 5 8 6 8 "Mężczyzna" 1 "6 lat i więcej" 25 "Wykształcenie wyższe" 1 "W 100% utrzymuję się sam" 1 "8000 i powyżej" 9500 "Studia zaoczne / niestacjonarne lub inne;" 0 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto od 150 tys. do 500 tys." "Mieszkam wspólnie z rodzicami;Mieszkam sam;" 1 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.6678260449161 1534.02777777778 324 4 64 1.79175946922806 10.5166555703457 2.35296024520088 0 0 0 0 0 0 18 2 6 8 1 0 1 4096 1 9500 0 0.164859154158172
66 969.999995408579 6 40 0.5 3.8 27 70 13 6 9 8 7 8 8 "Kobieta" 0 "1 rok" 20 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "2000-2999" 2500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;Inżynieryjno-techniczne;" 0 1 0 0 1 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4 godziny dziennie lub więcej" "1-3 godziny tygodniowo" "Rzadziej lub wcale" 0 4.24849524204936 4900 169 36 49 2.07944154167984 14.7332005306815 2.69010348662027 13 6 9 7 1 5 13 6 9 7 5 1 1 2401 25 2500 0 0.246331536501772
67 770.000005234033 3 70 1 4.8 27 60 17 2 6 7 6 6 8 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "3000-4999" 4000 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "2-3 godziny dziennie" "4-7 godzin tygodniowo" "Kilka razy w miesiącu" 3 4.0943445622221 3600 289 4 36 1.79175946922806 13.4919333848297 2.6020919798043 17 2 6 6 1 5 17 2 6 6 5 1 1 1296 25 0 4000 -0.0704171453592153
68 1162.999995891 6 75 1 4.3 29 87.5 17 4 5 6 5 5 8 "Mężczyzna" 1 "2 lata" 21 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto od 150 tys. do 500 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "4 godziny dziennie lub więcej" "4-7 godzin tygodniowo" "Kilka razy w miesiącu" 3 4.47163879336357 7656.25 289 16 25 1.6094379124341 16.7082869338697 2.81590481992951 17 4 5 5 0 4 0 0 0 0 0 0 1 625 16 0 2500 1.92048199012576
69 421.999994921498 0.5 90 6 4.8 25 49.1666666666667 16 3 4 3 4 3 3 "Mężczyzna" 1 "2 lata" 21 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "2000-2999" 2500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Wieś" "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "1-3 godziny tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.89521588711176 2417.36111111111 256 9 16 1.09861228866811 12.0237893119751 2.48688713000633 16 3 4 4 0 4 0 0 0 0 0 0 1 256 16 0 2500 -0.684054409866668
70 745.000001275911 6 100 0 4 31 100 18 3 6 6 7 6 6 "Kobieta" 0 "1 rok" 20 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "1000-1999" 1500 "Studia stacjonarne;" 1 "Medyczne i nauki o zdrowiu;" 0 0 1 0 0 "Wieś" "Mieszkam ze swoją rodziną (współmałżonkiem, partnerem, dziećmi);" 0 "4 godziny dziennie lub więcej" "mniej niż 1 godzinę tygodniowo" "Tylko podczas sesji" 1 4.60517018598809 10000 324 9 49 1.79175946922806 18 2.89037175789616 18 3 6 7 0 5 0 0 0 0 0 0 1 2401 25 0 1500 2.08230733424712
71 649.000002094545 1 50 3 4.85 25 33.3333333333333 9 2 7 5 3 6 5 "Kobieta" 0 "1 rok" 20 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "3000-4999" 4000 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;Społeczne i ekonomiczne;" 0 0 0 1 1 "Miasto od 50 tys. do 150 tys." "Mieszkam na stancji (wynajmuję pokój w mieszkaniu / domu prywatnym);" 0 "4-7 godzin tygodniowo" "2-3 godziny dziennie" "Tylko podczas sesji" 1 3.50655789731998 1111.11111111111 81 4 9 1.79175946922806 9.54700538379251 2.25622753294079 9 2 7 3 1 3 9 2 7 3 3 1 1 81 9 0 4000 -0.16777476773434
72 578.00000749994 1 80 6 4.11 17 48.3333333333333 4 4 6 3 8 5 6 "Mężczyzna" 1 "2 lata" 21 "Wykształcenie wyższe" 1 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "5000-7999" 6500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "4-7 godzin tygodniowo" "4 godziny dziennie lub więcej" "Rzadziej lub wcale" 0 3.87812145375246 2336.11111111111 16 16 64 1.6094379124341 11.9044357430761 2.4769110821819 4 4 6 8 1 3 4 4 6 8 3 1 1 4096 9 6500 0 2.40742456979081
73 732.000007038005 1 55 0 3.95 27 35.8333333333333 10 2 5 7 1 2 7 "Kobieta" 0 "0 lat (jestem w trakcie pierwszego roku)" 19 "Jeden z rodziców/opiekunów prawnych ma wykształcenie wyższe a drugi średnie lub podstawowe" 0 "W połowie utrzymuję się sam, a w połowie wspierają mnie rodzice (lub dalsza rodzina)" 3 "<1000" 500 "Studia stacjonarne;" 1 "Społeczne i ekonomiczne;" 0 0 0 1 0 "Miasto do 50 tys." "Mieszkam w akademiku;" 0 "4-7 godzin tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.57887855889961 1284.02777777778 100 4 1 0.693147180559945 9.97218999737865 2.29980021856631 10 2 5 1 0 3 0 0 0 0 0 0 1 1 9 0 500 0.285871335488496
74 1370.99999485072 0 90 0 4.3 24 45 9 4 5 6 1 3 6 "Kobieta" 0 "1 rok" 20 "Wykształcenie wyższe" 1 "Moi rodzice (lub dalsza rodzina, np. dziadkowie, wujostwo) utrzymują mnie w 100%" 5 "<1000" 500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Miasto powyżej 500 tys." "Mieszkam wspólnie z rodzicami;" 1 "mniej niż 1 godzinę tygodniowo" "mniej niż 1 godzinę tygodniowo" "Rzadziej lub wcale" 0 3.80666248977032 2025 81 16 1 1.09861228866811 11.4164078649987 2.43505160702395 9 4 5 1 1 5 9 4 5 1 5 1 1 1 25 500 0 0.806872739125401
75 1379.99999821186 6 100 0.5 4.9 32 100 18 6 3 8 8 8 9 "Mężczyzna" 1 "1 rok" 20 "Wykształcenie średnie" 0 "Mam trochę własnych środków, ale w większości utrzymują mnie moi rodzice (lub dalsza rodzina)" 4 "1000-1999" 1500 "Studia stacjonarne;" 1 "Ścisłe i przyrodnicze;" 0 0 0 0 1 "Wieś" "Mieszkam wspólnie z rodzicami;" 1 "4 godziny dziennie lub więcej" "1-3 godziny tygodniowo" "Raz w miesiącu" 2 4.60517018598809 10000 324 36 64 2.07944154167984 18 2.89037175789616 18 6 3 8 0 4 0 0 0 0 0 0 1 4096 16 1500 0 0.0469773466816399
